email,group_creator,group_id,group_name,group_size,is_anonymous,joined_at,user_created,user_id
,378e0b16-fb3a-4731-987e-349c586bb3f9,886ed85a-6e52-45ab-ad41-8b386bb87c7a,FINAL,1,True,2026-08-18 11:38:19.323074+00,2026-08-18 11:38:19.082094+00,378e0b16-fb3a-4731-987e-349c586bb3f9
,346f783e-ed1b-4b30-9f91-7d5686fc500b,e28c9da4-45fc-4f63-8ad3-fa48d3e448a1,Fase D Journey 1787592877155,3,True,2026-08-24 17:35:01.96753+00,2026-08-24 17:35:01.695938+00,37e84f3b-215e-4e01-bd78-d7cbf9180a0c
,909abbd8-9bcd-46e8-bf7b-7c4a0865b8c2,bf83bc9d-838f-415c-97d3-0f46bb763d08,Fresh Phase4 Group,2,True,2026-08-17 17:25:47.9257+00,2026-08-17 15:52:48.900592+00,3823a464-86aa-4912-bc3a-067d65d10eff
,3911021d-6743-4e0a-8010-9ea43100c7f6,d62161f5-79bf-4b33-8f4a-7da0bb5d4bd4,Sync Test Trip,4,True,2026-08-14 22:58:31.276737+00,2026-08-14 22:58:30.459805+00,3911021d-6743-4e0a-8010-9ea43100c7f6
,346f783e-ed1b-4b30-9f91-7d5686fc500b,74406774-dc3f-4ccb-a3c2-6c7c71a82c56,RoleProbe 1787600800754,2,True,2026-08-24 19:46:45.588744+00,2026-08-24 19:46:45.468669+00,39ed524d-6e85-4d09-8cdb-8190fbb88f7e
,3ab8635f-04f8-48fb-a9b0-3255ba4958df,34d87970-38ab-4f9a-b8a2-11d9b87ea197,R2 Group,1,True,2026-08-18 04:32:22.417201+00,2026-08-18 04:32:22.182857+00,3ab8635f-04f8-48fb-a9b0-3255ba4958df
,346f783e-ed1b-4b30-9f91-7d5686fc500b,d7b0cda1-1ed9-40d6-b235-59660a34d224,Fase D Journey 1787814827796,3,True,2026-08-27 07:14:12.955255+00,2026-08-27 07:14:12.785075+00,3b5c2e2b-131e-45be-a5a8-e533a307ef95
,346f783e-ed1b-4b30-9f91-7d5686fc500b,91575fb6-2bcb-47f8-9c52-12a38c7d43a9,Fase D Journey 1787764383576,3,True,2026-08-26 17:13:51.977008+00,2026-08-26 17:13:51.650702+00,402ddd0b-fc1a-42ee-80a6-08b7b45a52eb
,346f783e-ed1b-4b30-9f91-7d5686fc500b,2249dde5-d6c2-43ad-8441-c961f9ea9fc6,Fase D Journey 1787593573299,3,True,2026-08-24 17:46:59.540991+00,2026-08-24 17:46:59.429712+00,407f450d-11c5-4250-933c-fd6dc6cbf0bc
,346f783e-ed1b-4b30-9f91-7d5686fc500b,40a7b262-eaf3-418c-b73d-2c0ef5de5522,M4.5 Browser E2E,3,True,2026-08-24 07:33:44.047099+00,2026-08-24 07:33:43.885793+00,41a41e4e-713d-4021-94fe-4197e7cb9f78
,41b44aa1-5993-44f2-96c6-4c549998ba2a,917c5218-8fc4-43ac-8652-a51c3d6ed74f,RPC Harden Group,1,True,2026-08-18 04:26:07.384843+00,2026-08-18 04:26:06.604138+00,41b44aa1-5993-44f2-96c6-4c549998ba2a
,346f783e-ed1b-4b30-9f91-7d5686fc500b,24d8f836-e494-4cdd-a116-b7d4addb3c5a,M4.5 Browser E2E,3,True,2026-08-25 15:06:11.683635+00,2026-08-25 15:06:11.568892+00,4489be9e-67e5-468c-8eeb-8ede1956f81e
,a157079a-d502-43d7-8d15-af3a352c759f,d676dcc0-a9e8-457d-8d91-ae36b0345231,KULALAL,11,True,2026-08-14 19:37:04.231268+00,2026-08-14 19:36:45.578955+00,45c1ca0d-e6fb-41aa-9370-a3f0e15a1851
,46856bdb-96ff-4ac0-a7f0-95322790a08c,e39286b5-e874-46ad-a39c-c48820845cf9,grant1,1,True,2026-08-18 11:09:44.871692+00,2026-08-18 11:09:44.574164+00,46856bdb-96ff-4ac0-a7f0-95322790a08c
,346f783e-ed1b-4b30-9f91-7d5686fc500b,e03befc6-9c4b-4539-8bda-a5168b46c563,M4.5 Browser E2E,3,True,2026-08-24 17:51:31.122812+00,2026-08-24 17:51:31.017097+00,4c7b1eb6-ae49-43e2-9434-6c9d1c374e49
,3911021d-6743-4e0a-8010-9ea43100c7f6,d62161f5-79bf-4b33-8f4a-7da0bb5d4bd4,Sync Test Trip,4,True,2026-08-14 22:58:35.664172+00,2026-08-14 22:58:35.297867+00,4ed08351-64cf-49c0-a995-0cf1c51897c9
,346f783e-ed1b-4b30-9f91-7d5686fc500b,ed588a6d-c416-47a9-82f1-cfd5c3170324,DelProof,2,True,2026-08-25 03:47:28.248539+00,2026-08-25 03:47:28.123371+00,4f320bba-5fb8-4d6c-a3c3-1dabb64e471a
,2acd953d-8e25-418b-9ba9-20237793451e,bfb8fcc6-d871-44f3-86be-7b8f071d443a,BALI,2,True,2026-08-14 20:57:07.768449+00,2026-08-14 20:56:52.398968+00,4f9d526a-a288-4843-ade6-cab56ac4ec15
,033944d1-3cca-4d7c-a6b0-b744df9da604,72867803-912b-410d-991f-a9a589c6ab65,Guest E2E 1787506700,10,True,2026-08-23 18:59:43.919593+00,2026-08-23 18:59:43.000409+00,51f87c81-2c39-401e-8f33-e2a31bda36e8
,5267f2ff-4727-4556-93fa-4426f214b52c,cedcd556-8bf2-45a5-bab2-87429a026fd0,GembiraLOKA,3,True,2026-08-14 21:43:37.500249+00,2026-08-14 21:43:36.825746+00,5267f2ff-4727-4556-93fa-4426f214b52c
,5497c819-ec93-470d-92f1-13f8b2232f64,f7171408-5d36-4d07-8871-512640dd6774,R2 Group,1,True,2026-08-18 04:33:28.695042+00,2026-08-18 04:33:28.286737+00,5497c819-ec93-470d-92f1-13f8b2232f64
,346f783e-ed1b-4b30-9f91-7d5686fc500b,62757a9c-bc03-4362-8fcb-603052d4c63f,M4.5 Browser E2E,3,True,2026-08-24 05:44:23.438418+00,2026-08-24 05:44:23.245748+00,549fb139-38b1-41d5-b9e4-f7b464696a6a
,346f783e-ed1b-4b30-9f91-7d5686fc500b,f0704c69-fc98-4d27-81b8-47349770623c,Fase D Journey 1787593300520,3,True,2026-08-24 17:42:26.595443+00,2026-08-24 17:42:26.480337+00,55119b00-b208-48c1-994c-a8f025d03857
,346f783e-ed1b-4b30-9f91-7d5686fc500b,4c7573cd-a9b3-445b-95bf-2bb229cb7e8e,M4.5 Browser E2E,3,True,2026-08-24 17:54:06.57455+00,2026-08-24 17:54:06.476989+00,55c57522-a5d9-412f-9653-3477aa409fc8
,5661031a-15f0-435e-8e9f-31a95072f6f2,3a9209e4-d064-43aa-8718-18b31525cfe6,R2 Group,1,True,2026-08-18 04:32:45.245304+00,2026-08-18 04:32:45.122136+00,5661031a-15f0-435e-8e9f-31a95072f6f2
,346f783e-ed1b-4b30-9f91-7d5686fc500b,8332f6fd-4ffb-48fe-840e-b8a70dd276ef,PermProbe,2,True,2026-08-25 03:42:15.114817+00,2026-08-25 03:42:14.958249+00,56749933-bf03-43a5-a2e8-ccfd2fa21974
,346f783e-ed1b-4b30-9f91-7d5686fc500b,8eb1f727-54a4-4a27-808c-cf7e4a850596,M4.5 Browser E2E,3,True,2026-08-24 05:36:37.456379+00,2026-08-24 05:36:37.308556+00,57312aa9-24bd-4aa4-8be6-5f315b680327
,346f783e-ed1b-4b30-9f91-7d5686fc500b,3d3c3100-213e-4487-bb68-662abffcec87,Fase D Journey 1787775694310,3,True,2026-08-26 20:22:22.572898+00,2026-08-26 20:22:22.437529+00,57dbfa97-f340-45b7-b1df-594ce43f577b
,033944d1-3cca-4d7c-a6b0-b744df9da604,72867803-912b-410d-991f-a9a589c6ab65,Guest E2E 1787506700,10,True,2026-08-23 18:54:11.908432+00,2026-08-23 18:54:11.120244+00,5d4dcf25-da5a-4bf5-b872-1f026c7b10ea
,a157079a-d502-43d7-8d15-af3a352c759f,d676dcc0-a9e8-457d-8d91-ae36b0345231,KULALAL,11,True,2026-08-14 22:43:17.068099+00,2026-08-14 22:38:22.002165+00,5f17c49a-751e-4121-8c8f-da2501ffea1b
,6126053c-bd65-49f2-b3d2-e96d14cf19f9,64219d3a-cacb-415d-b7e8-488fcbf871ce,REG-FINAL,1,True,2026-08-18 11:40:38.613579+00,2026-08-18 11:40:38.181327+00,6126053c-bd65-49f2-b3d2-e96d14cf19f9
,6126053c-bd65-49f2-b3d2-e96d14cf19f9,0c0a3760-786e-4a80-b505-52054c582f86,Yogya Trip,1,True,2026-08-18 11:40:39.188279+00,2026-08-18 11:40:38.181327+00,6126053c-bd65-49f2-b3d2-e96d14cf19f9
,346f783e-ed1b-4b30-9f91-7d5686fc500b,f5c8b25a-4697-474b-b550-1a11eb8a5dc6,M4.5 Browser E2E,3,True,2026-08-26 20:32:07.567194+00,2026-08-26 20:32:07.454927+00,6177e5d3-0de2-422a-a6c9-08cdce143e17
,61caf374-9795-42b4-9673-9284ed89a816,2f704b13-18f2-45f2-a6e8-7e009e79039e,Smoke,1,True,2026-08-18 04:55:17.181393+00,2026-08-18 04:55:16.693302+00,61caf374-9795-42b4-9673-9284ed89a816
,346f783e-ed1b-4b30-9f91-7d5686fc500b,f44760fc-c5d7-4456-85dd-c5064a3b112d,Fase D Journey 1787601518558,3,True,2026-08-24 19:59:03.296384+00,2026-08-24 19:59:03.151556+00,62452505-9f3f-449e-9a44-56fa50f8053e
,346f783e-ed1b-4b30-9f91-7d5686fc500b,f0126301-7e5e-4a76-9b22-d569be1195f0,M4.5 Browser E2E,3,True,2026-08-26 17:22:00.439592+00,2026-08-26 17:22:00.272667+00,63546834-dc71-4109-805f-1ce43191ac8f
,0da3ae4f-f646-422f-a55a-2e347d4a5978,99034942-cc28-496a-89fb-ae3635349185,Thai,2,True,2026-08-14 21:28:52.801722+00,2026-08-14 21:28:47.644262+00,645e5e60-8d34-458a-9ce7-7b22e93dc931
,346f783e-ed1b-4b30-9f91-7d5686fc500b,686f780d-0f89-438e-a1b7-c624f975546b,Fase C Wishlist Test 1787580291520,2,True,2026-08-24 14:05:13.662109+00,2026-08-24 14:05:13.290349+00,67457504-c784-4a44-b9bc-60dd0ac84183
,346f783e-ed1b-4b30-9f91-7d5686fc500b,95d54333-ae13-4053-90d9-e9c3f58c21c2,Fase B Permission Test 1787668398341,2,True,2026-08-25 14:33:33.644024+00,2026-08-25 14:33:33.466516+00,68a72151-a0d9-4b6a-9276-7d3bca0eb0c2
,346f783e-ed1b-4b30-9f91-7d5686fc500b,00f1903b-9cd5-41a2-bf7f-7440e3c0876b,Sync 1787669793808,2,True,2026-08-25 14:56:55.819718+00,2026-08-25 14:56:55.695184+00,68aadf72-d1c6-4b21-b3c0-25c123f9af61
,6a6161fa-c622-4518-a77a-564e5594820a,1e52cd88-c551-4d53-ac8b-fdfddef741e9,Smoke,1,True,2026-08-18 05:58:30.167348+00,2026-08-18 05:58:29.580323+00,6a6161fa-c622-4518-a77a-564e5594820a
,6a6161fa-c622-4518-a77a-564e5594820a,8deb6748-49a9-4ca9-bc56-d5c468fb00e6,Trip,1,True,2026-08-18 05:58:30.744608+00,2026-08-18 05:58:29.580323+00,6a6161fa-c622-4518-a77a-564e5594820a
,6b7da864-c256-442f-b7ef-d4d460050d96,7f839932-be6e-4b0b-a3d2-0712bfd62e99,reloadverify,1,True,2026-08-18 11:27:30.878572+00,2026-08-18 11:27:30.300467+00,6b7da864-c256-442f-b7ef-d4d460050d96
,346f783e-ed1b-4b30-9f91-7d5686fc500b,84409aef-c731-4f15-be63-7db0a6044b6c,P0.2 Verify,2,True,2026-08-24 05:38:38.456511+00,2026-08-24 05:38:37.790498+00,6c09e0eb-5381-4543-a275-37c46ed9f25c
,71860358-6419-454e-9d76-26b194600d8e,d5fc2a2f-b871-46c1-8416-87fc185c04e1,Nigeria,3,True,2026-08-24 18:45:53.824485+00,2026-08-24 18:45:53.648955+00,6c2c5fa2-f4cf-4b2a-b7c6-24ac2ca763c7
,70819a89-4eb9-43f6-8712-3a51d692e4d2,abe80f91-c1d2-40a5-bf05-223f5b2bd1a2,R2 Group,1,True,2026-08-18 04:33:47.070963+00,2026-08-18 04:33:46.837543+00,70819a89-4eb9-43f6-8712-3a51d692e4d2
,71860358-6419-454e-9d76-26b194600d8e,8b0d1d5f-529a-42fc-8f27-4b1db7e8b69b,BOLIVIA,2,True,2026-08-25 13:43:22.935237+00,2026-08-25 13:43:22.765069+00,709a042e-ff0e-4629-9aff-6da4b748557c
,346f783e-ed1b-4b30-9f91-7d5686fc500b,c967d9f5-a643-4660-b21c-2e56e4608388,M4.5 Browser E2E,3,True,2026-08-25 04:01:57.835976+00,2026-08-25 04:01:57.721151+00,737dd067-8926-41b1-a95e-328820c60821
,739059de-01bf-4f45-b83f-13e2314a893d,42885cad-9d44-4758-ae9f-ea292c135487,REG,1,True,2026-08-19 02:48:23.690341+00,2026-08-19 02:48:23.368885+00,739059de-01bf-4f45-b83f-13e2314a893d
,739059de-01bf-4f45-b83f-13e2314a893d,63968b99-71df-44b7-9004-14f70084cccb,Y2,1,True,2026-08-19 02:48:24.539843+00,2026-08-19 02:48:23.368885+00,739059de-01bf-4f45-b83f-13e2314a893d
,739059de-01bf-4f45-b83f-13e2314a893d,1e5d8aed-b154-4f1c-ab14-c326e3ba78b9,Yogya,1,True,2026-08-19 02:48:24.421138+00,2026-08-19 02:48:23.368885+00,739059de-01bf-4f45-b83f-13e2314a893d
,346f783e-ed1b-4b30-9f91-7d5686fc500b,f0704c69-fc98-4d27-81b8-47349770623c,Fase D Journey 1787593300520,3,True,2026-08-24 17:42:05.140213+00,2026-08-24 17:42:05.011718+00,74478987-63e3-438c-8541-39650e70c282
,346f783e-ed1b-4b30-9f91-7d5686fc500b,f44760fc-c5d7-4456-85dd-c5064a3b112d,Fase D Journey 1787601518558,3,True,2026-08-24 19:59:24.642913+00,2026-08-24 19:59:24.544446+00,763f46fc-1407-4100-aa1f-31790e8f0410
,346f783e-ed1b-4b30-9f91-7d5686fc500b,83eaf917-e27c-4939-9b95-1d0524852b83,M4.5 Browser E2E,4,True,2026-08-24 12:21:48.716368+00,2026-08-24 12:21:48.523997+00,776ef096-fd45-4de3-95b0-d2d7072c0344
,783ace59-f0e0-4419-987f-f573d95145dc,96b1099c-9019-45b6-af77-29f835710dbf,R2 Group,1,True,2026-08-18 04:33:10.150245+00,2026-08-18 04:33:10.029635+00,783ace59-f0e0-4419-987f-f573d95145dc
,7e3b5de8-96b9-4c4a-94e2-66cf26817ab8,3b2a6669-2100-475e-8b09-c17e3e2ae6a6,notif2,1,True,2026-08-18 10:38:54.719883+00,2026-08-18 10:38:54.388584+00,7e3b5de8-96b9-4c4a-94e2-66cf26817ab8
,346f783e-ed1b-4b30-9f91-7d5686fc500b,c19072c7-798f-4d48-b08e-f8741baed747,Fase C Wishlist Test 1787601207957,2,True,2026-08-24 19:53:48.880836+00,2026-08-24 19:53:48.760732+00,809c4aee-00aa-4ad3-ab25-966ff402f72a
,80a6dd8b-6a72-4048-9e5b-6fe858789b12,4f05578b-cc0d-44ec-b51c-f88522d0adeb,REALID,1,True,2026-08-18 11:41:16.071424+00,2026-08-18 11:41:15.967715+00,80a6dd8b-6a72-4048-9e5b-6fe858789b12
,346f783e-ed1b-4b30-9f91-7d5686fc500b,91cc692b-b533-4f93-ac15-a56d5245e9eb,SealVerify,3,True,2026-08-25 03:53:50.939163+00,2026-08-25 03:53:50.792614+00,81b41646-40eb-4db3-8095-ea17e3a00906
,346f783e-ed1b-4b30-9f91-7d5686fc500b,83eaf917-e27c-4939-9b95-1d0524852b83,M4.5 Browser E2E,4,True,2026-08-24 12:04:41.98296+00,2026-08-24 12:04:41.193055+00,83690396-7c99-407e-8dad-6055fb8508b6
